"Kod";"Nazwa";"Pojazdy";"Rodzaje paliwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1202000;"Powiat brzeski";"ciągniki siodłowe";"pozostałe";"2016";152;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"pozostałe";"2017";161;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"pozostałe";"2018";169;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"pozostałe";"2019";170;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"benzyna";"2015";40533;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"benzyna";"2016";41704;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"benzyna";"2017";42905;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"benzyna";"2018";43330;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"benzyna";"2019";44356;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"olej napędowy";"2015";17612;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"olej napędowy";"2016";18561;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"olej napędowy";"2017";19067;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"olej napędowy";"2018";19909;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"olej napędowy";"2019";20580;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"gaz (LPG)";"2015";9179;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"gaz (LPG)";"2016";9602;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"gaz (LPG)";"2017";9609;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"gaz (LPG)";"2018";10411;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"gaz (LPG)";"2019";10668;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"pozostałe";"2015";77;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"pozostałe";"2016";92;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"pozostałe";"2017";289;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"pozostałe";"2018";373;"szt.";"";
1203000;"Powiat chrzanowski";"samochody osobowe";"pozostałe";"2019";760;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"benzyna";"2015";1554;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"benzyna";"2016";1504;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"benzyna";"2017";1512;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"benzyna";"2018";1483;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"benzyna";"2019";1463;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"olej napędowy";"2015";5476;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"olej napędowy";"2016";5637;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"olej napędowy";"2017";4825;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"olej napędowy";"2018";5033;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"olej napędowy";"2019";5225;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"gaz (LPG)";"2015";545;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"gaz (LPG)";"2016";524;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"gaz (LPG)";"2017";485;"szt.";"";
